,0,1,2,3,4,5,6,7,8
2175,0.42465,0.80497,0.44796,0.54142,0.80154,0.4618,0.66175,0.80652,0.47444
2176,0.42776,0.80548,0.44769,0.54354,0.80198,0.46178,0.66348,0.8067,0.47439
2177,0.43049,0.80562,0.44706,0.54641,0.80227,0.46125,0.66766,0.80694,0.47357
2178,0.43281,0.8052,0.4466,0.54829,0.80219,0.46076,0.66943,0.80653,0.47301
2179,0.43506,0.80504,0.44605,0.55132,0.8015,0.46004,0.67257,0.80634,0.47247
2180,0.43664,0.80523,0.44583,0.55412,0.80199,0.4596,0.67519,0.80674,0.47189
2181,0.43961,0.80552,0.44518,0.55614,0.80206,0.45923,0.67671,0.80675,0.47179
2182,0.4413,0.80533,0.44474,0.55871,0.80177,0.45859,0.6799,0.80643,0.47107
2183,0.44388,0.80488,0.44434,0.56119,0.80156,0.45825,0.68167,0.80625,0.47084
2184,0.44623,0.80482,0.44402,0.5634,0.80145,0.4579,0.68392,0.80618,0.47036
2185,0.44731,0.80483,0.4438,0.56513,0.80173,0.45745,0.68597,0.8064,0.46994
2186,0.45011,0.80493,0.44346,0.56691,0.80162,0.45741,0.68726,0.80619,0.46991
2187,0.45148,0.80473,0.44319,0.56817,0.80161,0.45721,0.68908,0.80632,0.46936
2188,0.45288,0.80464,0.44298,0.57001,0.8014,0.45661,0.69093,0.8061,0.46888
2189,0.45435,0.80478,0.44268,0.5716,0.80137,0.45635,0.69235,0.80612,0.46867
2190,0.4553,0.80468,0.44252,0.5729,0.80132,0.45598,0.69299,0.80606,0.46843
2191,0.45592,0.80456,0.44253,0.57372,0.80115,0.45582,0.69396,0.80604,0.46809
2192,0.45666,0.80443,0.44255,0.57406,0.80126,0.45584,0.69421,0.80591,0.46799
2193,0.45736,0.8045,0.44245,0.57422,0.80112,0.45568,0.6945,0.80586,0.46783
2194,0.45725,0.80465,0.44252,0.57453,0.80118,0.45565,0.69454,0.8059,0.46774
2195,0.4573,0.80465,0.44258,0.57404,0.80126,0.45572,0.69421,0.80588,0.46771
2196,0.45731,0.80456,0.44261,0.57363,0.80116,0.45587,0.69399,0.80587,0.46774
2197,0.4565,0.8046,0.44257,0.57336,0.80099,0.45601,0.69339,0.80553,0.46801
2198,0.45625,0.80453,0.44279,0.57268,0.80105,0.45606,0.6925,0.80553,0.46791
2199,0.45514,0.80466,0.44283,0.57161,0.8011,0.45596,0.69211,0.80562,0.46785
2200,0.45485,0.80484,0.44248,0.57147,0.80134,0.45585,0.69151,0.80589,0.46759
2201,0.4545,0.80492,0.44194,0.57075,0.80169,0.4555,0.69104,0.8062,0.46747
2202,0.45441,0.80502,0.44132,0.56977,0.80147,0.45499,0.6901,0.8062,0.46713
2203,0.45342,0.80545,0.44074,0.56976,0.8015,0.4545,0.6897,0.80636,0.46652
2204,0.45317,0.80556,0.44015,0.56945,0.80233,0.45407,0.68928,0.80649,0.4664
